n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
300,64.0,sqrt,5,10.0,0.8645995863420298,0.8486937590711175,0.5678295479815268,0.5557205727507536,324
200,32.0,sqrt,2,10.0,0.8633840124823107,0.8482583454281567,0.5667297288936445,0.5551857649765352,324
200,32.0,sqrt,5,10.0,0.8633840124823107,0.8482583454281567,0.5667297288936445,0.5551857649765352,324
200,,sqrt,2,10.0,0.8648354439566022,0.8480406386066763,0.5678989305426067,0.5549490820798836,324
200,,sqrt,5,10.0,0.8648354439566022,0.8480406386066763,0.5678989305426067,0.5549490820798836,324
200,64.0,sqrt,2,10.0,0.8648354439566022,0.8480406386066763,0.5678989305426067,0.5549490820798836,324
200,64.0,sqrt,5,10.0,0.8648354439566022,0.8480406386066763,0.5678989305426067,0.5549490820798836,324
100,32.0,sqrt,2,10.0,0.8635291556297399,0.847677793904209,0.5670536322905336,0.5549446896954359,324
100,32.0,sqrt,5,10.0,0.8635291556297399,0.847677793904209,0.5670536322905336,0.5549446896954359,324
300,32.0,sqrt,2,10.0,0.862912297253166,0.847677793904209,0.5664760126440659,0.5548572458421264,324
300,32.0,sqrt,5,10.0,0.862912297253166,0.847677793904209,0.5664760126440659,0.5548572458421264,324
100,,sqrt,2,10.0,0.864799158169745,0.8473149492017417,0.5679078189796527,0.5545091024551249,324
100,,sqrt,5,10.0,0.864799158169745,0.8473149492017417,0.5679078189796527,0.5545091024551249,324
100,64.0,sqrt,2,10.0,0.864799158169745,0.8473149492017417,0.5679078189796527,0.5545091024551249,324
100,64.0,sqrt,5,10.0,0.864799158169745,0.8473149492017417,0.5679078189796527,0.5545091024551249,324
100,20.0,sqrt,2,5.0,0.8615152944591603,0.8462264150943396,0.56483583298317,0.5530958708213118,324
100,20.0,sqrt,5,5.0,0.8615152944591603,0.8462264150943396,0.56483583298317,0.5530958708213118,324
200,20.0,sqrt,2,5.0,0.8609891505497297,0.8461538461538461,0.5645381486016579,0.5530335519045417,324
200,20.0,sqrt,5,5.0,0.8609891505497297,0.8461538461538461,0.5645381486016579,0.5530335519045417,324
300,20.0,sqrt,2,5.0,0.8621140099423056,0.8450653120464441,0.5655487762942691,0.5523099778765118,324
300,20.0,sqrt,5,5.0,0.8621140099423056,0.8450653120464441,0.5655487762942691,0.5523099778765118,324
300,20.0,sqrt,2,10.0,0.8534598497768424,0.8411465892597968,0.5581084584443967,0.5486189240734685,324
300,20.0,sqrt,5,10.0,0.8534598497768424,0.8411465892597968,0.5581084584443967,0.5486189240734685,324
100,,sqrt,2,20.0,0.8500127000254001,0.8403483309143687,0.5554199231052886,0.5481089381267615,324
100,,sqrt,5,20.0,0.8500127000254001,0.8403483309143687,0.5554199231052886,0.5481089381267615,324
100,64.0,sqrt,2,20.0,0.8500127000254001,0.8403483309143687,0.5554199231052886,0.5481089381267615,324
100,64.0,sqrt,5,20.0,0.8500127000254001,0.8403483309143687,0.5554199231052886,0.5481089381267615,324
100,20.0,sqrt,2,10.0,0.8538771363257012,0.8403483309143687,0.5585070094445533,0.5480932327338469,324
100,20.0,sqrt,5,10.0,0.8538771363257012,0.8403483309143687,0.5585070094445533,0.5480932327338469,324
200,20.0,sqrt,2,10.0,0.8526252766791248,0.8403483309143687,0.5573274542565998,0.5478945070680868,324
200,20.0,sqrt,5,10.0,0.8526252766791248,0.8403483309143687,0.5573274542565998,0.5478945070680868,324
100,32.0,sqrt,2,20.0,0.8501034144925432,0.8398403483309144,0.5554411287965307,0.5476387544256364,324
100,32.0,sqrt,5,20.0,0.8501034144925432,0.8398403483309144,0.5554411287965307,0.5476387544256364,324
300,,sqrt,2,20.0,0.8491781269276825,0.8395500725689405,0.5546374712635949,0.547315565222721,324
300,,sqrt,5,20.0,0.8491781269276825,0.8395500725689405,0.5546374712635949,0.547315565222721,324
300,64.0,sqrt,2,20.0,0.8491781269276825,0.8395500725689405,0.5546374712635949,0.547315565222721,324
300,64.0,sqrt,5,20.0,0.8491781269276825,0.8395500725689405,0.5546374712635949,0.547315565222721,324
200,,sqrt,2,20.0,0.8491962698211111,0.8393323657474601,0.5545530333134249,0.5470960792758653,324
200,,sqrt,5,20.0,0.8491962698211111,0.8393323657474601,0.5545530333134249,0.5470960792758653,324
200,64.0,sqrt,2,20.0,0.8491962698211111,0.8393323657474601,0.5545530333134249,0.5470960792758653,324
200,64.0,sqrt,5,20.0,0.8491962698211111,0.8393323657474601,0.5545530333134249,0.5470960792758653,324
200,32.0,sqrt,2,20.0,0.849559127689684,0.8390420899854862,0.5549391753982881,0.5468273016773272,324
200,32.0,sqrt,5,20.0,0.849559127689684,0.8390420899854862,0.5549391753982881,0.5468273016773272,324
300,32.0,sqrt,2,20.0,0.8488696977393955,0.8381712626995645,0.5544482092719019,0.546184665871952,324
300,32.0,sqrt,5,20.0,0.8488696977393955,0.8381712626995645,0.5544482092719019,0.546184665871952,324
300,20.0,sqrt,2,20.0,0.843844116259661,0.8333091436865022,0.5494779644015542,0.5414781057212682,324
300,20.0,sqrt,5,20.0,0.843844116259661,0.8333091436865022,0.5494779644015542,0.5414781057212682,324
100,20.0,sqrt,2,20.0,0.842882542907943,0.832510885341074,0.5484995952774482,0.5406071190412127,324
100,20.0,sqrt,5,20.0,0.842882542907943,0.832510885341074,0.5484995952774482,0.5406071190412127,324
200,20.0,sqrt,2,20.0,0.8419209695562249,0.832510885341074,0.5476458246207697,0.5405143163266893,324
200,20.0,sqrt,5,20.0,0.8419209695562249,0.832510885341074,0.5476458246207697,0.5405143163266893,324
